sale_date,category_code,units_sold,granularity
2014-06-26,M01AB,3.0,daily
2014-06-27,M01AB,4.34,daily
2014-06-28,M01AB,0.34,daily
2014-06-29,M01AB,0.0,daily
2014-06-30,M01AB,6.0,daily
2014-07-01,M01AB,4.34,daily
2014-07-02,M01AB,3.0,daily
2014-07-03,M01AB,2.33,daily
2014-07-04,M01AB,4.34,daily
2014-07-05,M01AB,3.34,daily
2014-07-06,M01AB,4.0,daily
2014-07-07,M01AB,2.0,daily
2014-07-08,M01AB,6.34,daily
2014-07-09,M01AB,3.0,daily
2014-07-10,M01AB,2.33,daily
2014-07-11,M01AB,2.0,daily
2014-07-12,M01AB,8.34,daily
2014-07-13,M01AB,2.0,daily
2014-07-14,M01AB,5.0,daily
2014-07-15,M01AB,3.34,daily
2014-07-16,M01AB,4.0,daily
2014-07-17,M01AB,2.0,daily
2014-07-18,M01AB,9.0,daily
2014-07-19,M01AB,7.33,daily
2014-07-20,M01AB,3.0,daily
2014-07-21,M01AB,3.0,daily
2014-07-22,M01AB,5.0,daily
2014-07-23,M01AB,2.67,daily
2014-07-24,M01AB,5.34,daily
2014-07-25,M01AB,5.0,daily
2014-07-26,M01AB,4.0,daily
2014-07-27,M01AB,3.0,daily
2014-07-28,M01AB,2.0,daily
2014-07-29,M01AB,2.34,daily
2014-07-30,M01AB,0.68,daily
2014-07-31,M01AB,3.0,daily
2014-08-01,M01AB,2.0,daily
2014-08-02,M01AB,5.0,daily
2014-08-03,M01AB,5.0,daily
2014-08-04,M01AB,4.0,daily
2014-08-05,M01AB,2.0,daily
2014-08-06,M01AB,6.0,daily
2014-08-07,M01AB,3.34,daily
2014-08-08,M01AB,5.02,daily
2014-08-09,M01AB,4.0,daily
2014-08-10,M01AB,4.0,daily
2014-08-11,M01AB,8.0,daily
2014-08-12,M01AB,0.0,daily
2014-08-13,M01AB,1.34,daily
2014-08-14,M01AB,4.0,daily
2014-08-15,M01AB,4.34,daily
2014-08-16,M01AB,8.0,daily
2014-08-17,M01AB,0.34,daily
2014-08-18,M01AB,4.34,daily
2014-08-19,M01AB,11.34,daily
2014-08-20,M01AB,5.34,daily
2014-08-21,M01AB,3.0,daily
2014-08-22,M01AB,6.34,daily
2014-08-23,M01AB,3.0,daily
2014-08-24,M01AB,3.0,daily
2014-08-25,M01AB,4.01,daily
2014-08-26,M01AB,2.34,daily
2014-08-27,M01AB,3.34,daily
2014-08-28,M01AB,2.34,daily
2014-08-29,M01AB,6.34,daily
2014-08-30,M01AB,3.68,daily
2014-08-31,M01AB,0.0,daily
2014-09-01,M01AB,3.34,daily
2014-09-02,M01AB,2.34,daily
2014-09-03,M01AB,7.0,daily
2014-09-04,M01AB,5.68,daily
2014-09-05,M01AB,4.0,daily
2014-09-06,M01AB,5.34,daily
2014-09-07,M01AB,2.0,daily
2014-09-08,M01AB,1.0,daily
2014-09-09,M01AB,6.34,daily
2014-09-10,M01AB,4.34,daily
2014-09-11,M01AB,0.0,daily
2014-09-12,M01AB,2.68,daily
2014-09-13,M01AB,3.0,daily
2014-09-14,M01AB,1.34,daily
2014-09-15,M01AB,1.34,daily
2014-09-16,M01AB,4.0,daily
2014-09-17,M01AB,2.34,daily
2014-09-18,M01AB,3.0,daily
2014-09-19,M01AB,2.0,daily
2014-09-20,M01AB,4.34,daily
2014-09-21,M01AB,1.0,daily
2014-09-22,M01AB,3.34,daily
2014-09-23,M01AB,3.0,daily
2014-09-24,M01AB,6.0,daily
2014-09-25,M01AB,4.68,daily
2014-09-26,M01AB,4.0,daily
2014-09-27,M01AB,4.0,daily
2014-09-28,M01AB,0.34,daily
2014-09-29,M01AB,7.0,daily
2014-09-30,M01AB,10.0,daily
2014-10-01,M01AB,2.34,daily
2014-10-02,M01AB,2.0,daily
2014-10-03,M01AB,4.33,daily
2014-10-04,M01AB,4.68,daily
2014-10-05,M01AB,2.0,daily
2014-10-06,M01AB,5.34,daily
2014-10-07,M01AB,3.0,daily
2014-10-08,M01AB,3.68,daily
2014-10-09,M01AB,1.0,daily
2014-10-10,M01AB,4.34,daily
2014-10-11,M01AB,3.34,daily
2014-10-12,M01AB,3.0,daily
2014-10-13,M01AB,1.68,daily
2014-10-14,M01AB,3.0,daily
2014-10-15,M01AB,1.33,daily
2014-10-16,M01AB,6.775,daily
2014-10-17,M01AB,3.0,daily
2014-10-18,M01AB,4.0,daily
2014-10-19,M01AB,3.33,daily
2014-10-20,M01AB,3.34,daily
2014-10-21,M01AB,2.34,daily
2014-10-22,M01AB,3.33,daily
2014-10-23,M01AB,1.34,daily
2014-10-24,M01AB,3.67,daily
2014-10-25,M01AB,2.33,daily
2014-10-26,M01AB,3.34,daily
2014-10-27,M01AB,8.34,daily
2014-10-28,M01AB,4.0,daily
2014-10-29,M01AB,5.0,daily
2014-10-30,M01AB,0.0,daily
2014-10-31,M01AB,2.0,daily
2014-11-01,M01AB,2.33,daily
2014-11-02,M01AB,4.0,daily
2014-11-03,M01AB,7.0,daily
2014-11-04,M01AB,6.33,daily
2014-11-05,M01AB,0.0,daily
2014-11-06,M01AB,6.0,daily
2014-11-07,M01AB,6.0,daily
2014-11-08,M01AB,12.0,daily
2014-11-09,M01AB,3.34,daily
2014-11-10,M01AB,1.0,daily
2014-11-11,M01AB,8.0,daily
2014-11-12,M01AB,3.0,daily
2014-11-13,M01AB,8.0,daily
2014-11-14,M01AB,5.34,daily
2014-11-15,M01AB,4.33,daily
2014-11-16,M01AB,2.0,daily
2014-11-17,M01AB,9.0,daily
2014-11-18,M01AB,2.67,daily
2014-11-19,M01AB,1.34,daily
2014-11-20,M01AB,4.0,daily
2014-11-21,M01AB,1.34,daily
2014-11-22,M01AB,6.0,daily
2014-11-23,M01AB,4.0,daily
2014-11-24,M01AB,4.0,daily
2014-11-25,M01AB,5.36,daily
2014-11-26,M01AB,3.0,daily
2014-11-27,M01AB,7.0,daily
2014-11-28,M01AB,3.02,daily
2014-11-29,M01AB,3.0,daily
2014-11-30,M01AB,5.68,daily
2014-12-01,M01AB,4.34,daily
2014-12-02,M01AB,6.99,daily
2014-12-03,M01AB,4.0,daily
2014-12-04,M01AB,3.0,daily
2014-12-05,M01AB,2.02,daily
2014-12-06,M01AB,3.34,daily
2014-12-07,M01AB,5.0,daily
2014-12-08,M01AB,1.0,daily
2014-12-09,M01AB,1.0,daily
2014-12-10,M01AB,3.34,daily
2014-12-11,M01AB,2.34,daily
2014-12-12,M01AB,6.34,daily
2014-12-13,M01AB,1.0,daily
2014-12-14,M01AB,10.0,daily
2014-12-15,M01AB,5.34,daily
2014-12-16,M01AB,6.34,daily
2014-12-17,M01AB,3.0,daily
2014-12-18,M01AB,5.0,daily
2014-12-19,M01AB,0.0,daily
2014-12-20,M01AB,1.0,daily
2014-12-21,M01AB,4.33,daily
2014-12-22,M01AB,3.34,daily
2014-12-23,M01AB,10.5,daily
2014-12-24,M01AB,1.0,daily
2014-12-25,M01AB,8.34,daily
2014-12-26,M01AB,3.33,daily
2014-12-27,M01AB,7.33,daily
2014-12-28,M01AB,2.34,daily
2014-12-29,M01AB,2.33,daily
2014-12-30,M01AB,9.0,daily
2014-12-31,M01AB,5.67,daily
2015-01-01,M01AB,0.0,daily
2015-01-02,M01AB,6.0,daily
2015-01-03,M01AB,9.0,daily
2015-01-04,M01AB,4.68,daily
2015-01-05,M01AB,2.34,daily
2015-01-06,M01AB,3.0,daily
2015-01-07,M01AB,0.0,daily
2015-01-08,M01AB,2.0,daily
2015-01-09,M01AB,3.0,daily
2015-01-10,M01AB,6.0,daily
2015-01-11,M01AB,3.0,daily
2015-01-12,M01AB,2.33,daily
2015-01-13,M01AB,10.34,daily
2015-01-14,M01AB,3.0,daily
2015-01-15,M01AB,6.67,daily
2015-01-16,M01AB,6.33,daily
2015-01-17,M01AB,6.68,daily
2015-01-18,M01AB,4.0,daily
2015-01-19,M01AB,5.34,daily
2015-01-20,M01AB,4.34,daily
2015-01-21,M01AB,4.0,daily
2015-01-22,M01AB,4.0,daily
2015-01-23,M01AB,3.67,daily
2015-01-24,M01AB,4.34,daily
2015-01-25,M01AB,4.0,daily
2015-01-26,M01AB,8.5,daily
2015-01-27,M01AB,2.67,daily
2015-01-28,M01AB,3.0,daily
2015-01-29,M01AB,4.34,daily
2015-01-30,M01AB,1.0,daily
2015-01-31,M01AB,8.34,daily
2015-02-01,M01AB,4.34,daily
2015-02-02,M01AB,6.0,daily
2015-02-03,M01AB,3.33,daily
2015-02-04,M01AB,2.34,daily
2015-02-05,M01AB,2.0,daily
2015-02-06,M01AB,3.33,daily
2015-02-07,M01AB,2.0,daily
2015-02-08,M01AB,1.34,daily
2015-02-09,M01AB,3.33,daily
2015-02-10,M01AB,3.66,daily
2015-02-11,M01AB,3.0,daily
2015-02-12,M01AB,3.0,daily
2015-02-13,M01AB,6.01,daily
2015-02-14,M01AB,4.33,daily
2015-02-15,M01AB,11.68,daily
2015-02-16,M01AB,3.01,daily
2015-02-17,M01AB,5.33,daily
2015-02-18,M01AB,1.0,daily
2015-02-19,M01AB,2.0,daily
2015-02-20,M01AB,5.33,daily
2015-02-21,M01AB,3.0,daily
2015-02-22,M01AB,2.0,daily
2015-02-23,M01AB,5.0,daily
2015-02-24,M01AB,3.68,daily
2015-02-25,M01AB,7.0,daily
2015-02-26,M01AB,6.0,daily
2015-02-27,M01AB,6.33,daily
2015-02-28,M01AB,6.34,daily
2015-03-01,M01AB,9.0,daily
2015-03-02,M01AB,6.67,daily
2015-03-03,M01AB,8.0,daily
2015-03-04,M01AB,9.68,daily
2015-03-05,M01AB,6.0,daily
2015-03-06,M01AB,2.0,daily
2015-03-07,M01AB,3.33,daily
2015-03-08,M01AB,6.0,daily
2015-03-09,M01AB,2.0,daily
2015-03-10,M01AB,1.34,daily
2015-03-11,M01AB,11.0,daily
2015-03-12,M01AB,2.68,daily
2015-03-13,M01AB,4.0,daily
2015-03-14,M01AB,2.66,daily
2015-03-15,M01AB,3.34,daily
2015-03-16,M01AB,8.0,daily
2015-03-17,M01AB,5.0,daily
2015-03-18,M01AB,7.33,daily
2015-03-19,M01AB,2.0,daily
2015-03-20,M01AB,1.0,daily
2015-03-21,M01AB,10.33,daily
2015-03-22,M01AB,8.34,daily
2015-03-23,M01AB,2.0,daily
2015-03-24,M01AB,4.0,daily
2015-03-25,M01AB,3.68,daily
2015-03-26,M01AB,5.0,daily
2015-03-27,M01AB,3.0,daily
2015-03-28,M01AB,1.33,daily
2015-03-29,M01AB,6.0,daily
2015-03-30,M01AB,6.33,daily
2015-03-31,M01AB,5.0,daily
2015-04-01,M01AB,6.34,daily
2015-04-02,M01AB,5.0,daily
2015-04-03,M01AB,5.33,daily
2015-04-04,M01AB,3.67,daily
2015-04-05,M01AB,3.34,daily
2015-04-06,M01AB,7.33,daily
2015-04-07,M01AB,6.0,daily
2015-04-08,M01AB,4.0,daily
2015-04-09,M01AB,1.33,daily
2015-04-10,M01AB,9.84,daily
2015-04-11,M01AB,11.68,daily
2015-04-12,M01AB,0.0,daily
2015-04-13,M01AB,6.67,daily
2015-04-14,M01AB,4.66,daily
2015-04-15,M01AB,2.0,daily
2015-04-16,M01AB,2.34,daily
2015-04-17,M01AB,9.33,daily
2015-04-18,M01AB,7.33,daily
2015-04-19,M01AB,9.32,daily
2015-04-20,M01AB,3.0,daily
2015-04-21,M01AB,6.33,daily
2015-04-22,M01AB,1.33,daily
2015-04-23,M01AB,4.0,daily
2015-04-24,M01AB,10.0,daily
2015-04-25,M01AB,5.0,daily
2015-04-26,M01AB,7.0,daily
2015-04-27,M01AB,3.0,daily
2015-04-28,M01AB,4.33,daily
2015-04-29,M01AB,2.0,daily
2015-04-30,M01AB,3.0,daily
2015-05-01,M01AB,5.34,daily
2015-05-02,M01AB,5.0,daily
2015-05-03,M01AB,6.67,daily
2015-05-04,M01AB,4.0,daily
2015-05-05,M01AB,3.34,daily
2015-05-06,M01AB,4.66,daily
2015-05-07,M01AB,2.0,daily
2015-05-08,M01AB,1.0,daily
2015-05-09,M01AB,3.66,daily
2015-05-10,M01AB,3.34,daily
2015-05-11,M01AB,3.33,daily
2015-05-12,M01AB,7.33,daily
2015-05-13,M01AB,8.0,daily
2015-05-14,M01AB,3.0,daily
2015-05-15,M01AB,3.34,daily
2015-05-16,M01AB,5.0,daily
2015-05-17,M01AB,5.0,daily
2015-05-18,M01AB,7.0,daily
2015-05-19,M01AB,3.0,daily
2015-05-20,M01AB,5.67,daily
2015-05-21,M01AB,6.0,daily
2015-05-22,M01AB,3.0,daily
2015-05-23,M01AB,5.68,daily
2015-05-24,M01AB,5.33,daily
2015-05-25,M01AB,9.66,daily
2015-05-26,M01AB,7.34,daily
2015-05-27,M01AB,4.0,daily
2015-05-28,M01AB,6.0,daily
2015-05-29,M01AB,6.33,daily
2015-05-30,M01AB,14.0,daily
2015-05-31,M01AB,3.0,daily
2015-06-01,M01AB,4.66,daily
2015-06-02,M01AB,8.33,daily
2015-06-03,M01AB,5.0,daily
2015-06-04,M01AB,2.33,daily
2015-06-05,M01AB,5.0,daily
2015-06-06,M01AB,3.68,daily
2015-06-07,M01AB,6.34,daily
2015-06-08,M01AB,6.0,daily
2015-06-09,M01AB,3.0,daily
2015-06-10,M01AB,4.34,daily
2015-06-11,M01AB,6.0,daily
2015-06-12,M01AB,1.67,daily
2015-06-13,M01AB,2.33,daily
2015-06-14,M01AB,5.0,daily
2015-06-15,M01AB,4.0,daily
2015-06-16,M01AB,7.0,daily
2015-06-17,M01AB,3.66,daily
2015-06-18,M01AB,3.0,daily
2015-06-19,M01AB,5.33,daily
2015-06-20,M01AB,9.34,daily
2015-06-21,M01AB,9.34,daily
2015-06-22,M01AB,5.17,daily
2015-06-23,M01AB,4.67,daily
2015-06-24,M01AB,3.83,daily
2015-06-25,M01AB,6.33,daily
2015-06-26,M01AB,7.17,daily
2015-06-27,M01AB,7.33,daily
2015-06-28,M01AB,5.34,daily
2015-06-29,M01AB,5.68,daily
2015-06-30,M01AB,1.0,daily
2015-07-01,M01AB,8.83,daily
2015-07-02,M01AB,3.0,daily
2015-07-03,M01AB,5.5,daily
2015-07-04,M01AB,7.35,daily
2015-07-05,M01AB,5.0,daily
2015-07-06,M01AB,5.5,daily
2015-07-07,M01AB,4.84,daily
2015-07-08,M01AB,2.0,daily
2015-07-09,M01AB,2.34,daily
2015-07-10,M01AB,5.5,daily
2015-07-11,M01AB,4.0,daily
2015-07-12,M01AB,6.33,daily
2015-07-13,M01AB,3.68,daily
2015-07-14,M01AB,0.34,daily
2015-07-15,M01AB,8.49,daily
2015-07-16,M01AB,8.34,daily
2015-07-17,M01AB,2.5,daily
2015-07-18,M01AB,3.68,daily
2015-07-19,M01AB,11.68,daily
2015-07-20,M01AB,5.84,daily
2015-07-21,M01AB,4.68,daily
2015-07-22,M01AB,9.33,daily
2015-07-23,M01AB,1.5,daily
2015-07-24,M01AB,6.0,daily
2015-07-25,M01AB,4.0,daily
2015-07-26,M01AB,5.0,daily
2015-07-27,M01AB,7.34,daily
2015-07-28,M01AB,14.18,daily
2015-07-29,M01AB,10.34,daily
2015-07-30,M01AB,3.0,daily
2015-07-31,M01AB,5.5,daily
2015-08-01,M01AB,5.0,daily
2015-08-02,M01AB,5.0,daily
2015-08-03,M01AB,1.5,daily
2015-08-04,M01AB,6.34,daily
2015-08-05,M01AB,5.0,daily
2015-08-06,M01AB,5.33,daily
2015-08-07,M01AB,4.33,daily
2015-08-08,M01AB,6.33,daily
2015-08-09,M01AB,5.0,daily
2015-08-10,M01AB,3.67,daily
2015-08-11,M01AB,12.33,daily
2015-08-12,M01AB,8.67,daily
2015-08-13,M01AB,8.0,daily
2015-08-14,M01AB,3.0,daily
2015-08-15,M01AB,3.34,daily
2015-08-16,M01AB,2.0,daily
2015-08-17,M01AB,8.0,daily
2015-08-18,M01AB,6.01,daily
2015-08-19,M01AB,6.33,daily
2015-08-20,M01AB,3.5,daily
2015-08-21,M01AB,6.0,daily
2015-08-22,M01AB,2.34,daily
2015-08-23,M01AB,8.99,daily
2015-08-24,M01AB,8.5,daily
2015-08-25,M01AB,2.34,daily
2015-08-26,M01AB,2.67,daily
2015-08-27,M01AB,9.33,daily
2015-08-28,M01AB,7.0,daily
2015-08-29,M01AB,10.84,daily
2015-08-30,M01AB,11.0,daily
2015-08-31,M01AB,4.0,daily
2015-09-01,M01AB,8.18,daily
2015-09-02,M01AB,5.33,daily
2015-09-03,M01AB,1.34,daily
2015-09-04,M01AB,3.34,daily
2015-09-05,M01AB,8.83,daily
2015-09-06,M01AB,8.33,daily
2015-09-07,M01AB,4.34,daily
2015-09-08,M01AB,2.67,daily
2015-09-09,M01AB,2.0,daily
2015-09-10,M01AB,6.0,daily
2015-09-11,M01AB,11.33,daily
2015-09-12,M01AB,4.66,daily
2015-09-13,M01AB,7.33,daily
2015-09-14,M01AB,4.68,daily
2015-09-15,M01AB,3.33,daily
2015-09-16,M01AB,0.67,daily
2015-09-17,M01AB,9.83,daily
2015-09-18,M01AB,3.34,daily
2015-09-19,M01AB,6.83,daily
2015-09-20,M01AB,9.99,daily
2015-09-21,M01AB,2.0,daily
2015-09-22,M01AB,6.99,daily
2015-09-23,M01AB,6.16,daily
2015-09-24,M01AB,2.99,daily
2015-09-25,M01AB,4.83,daily
2015-09-26,M01AB,12.42,daily
2015-09-27,M01AB,5.83,daily
2015-09-28,M01AB,1.0,daily
2015-09-29,M01AB,6.33,daily
2015-09-30,M01AB,5.32,daily
2015-10-01,M01AB,9.66,daily
2015-10-02,M01AB,5.0,daily
2015-10-03,M01AB,10.34,daily
2015-10-04,M01AB,7.0,daily
2015-10-05,M01AB,5.0,daily
2015-10-06,M01AB,5.69,daily
2015-10-07,M01AB,7.33,daily
2015-10-08,M01AB,8.82,daily
2015-10-09,M01AB,2.0,daily
2015-10-10,M01AB,6.16,daily
2015-10-11,M01AB,10.33,daily
2015-10-12,M01AB,9.66,daily
2015-10-13,M01AB,3.83,daily
2015-10-14,M01AB,4.66,daily
2015-10-15,M01AB,5.16,daily
2015-10-16,M01AB,1.67,daily
2015-10-17,M01AB,10.34,daily
2015-10-18,M01AB,7.34,daily
2015-10-19,M01AB,12.0,daily
2015-10-20,M01AB,3.34,daily
2015-10-21,M01AB,8.66,daily
2015-10-22,M01AB,4.33,daily
2015-10-23,M01AB,7.0,daily
2015-10-24,M01AB,9.84,daily
2015-10-25,M01AB,3.0,daily
2015-10-26,M01AB,9.0,daily
2015-10-27,M01AB,4.33,daily
2015-10-28,M01AB,1.0,daily
2015-10-29,M01AB,2.33,daily
2015-10-30,M01AB,5.33,daily
2015-10-31,M01AB,5.66,daily
2015-11-01,M01AB,2.33,daily
2015-11-02,M01AB,4.66,daily
2015-11-03,M01AB,1.34,daily
2015-11-04,M01AB,8.5,daily
2015-11-05,M01AB,4.33,daily
2015-11-06,M01AB,3.33,daily
2015-11-07,M01AB,4.0,daily
2015-11-08,M01AB,6.33,daily
2015-11-09,M01AB,3.66,daily
2015-11-10,M01AB,6.33,daily
2015-11-11,M01AB,9.66,daily
2015-11-12,M01AB,6.0,daily
2015-11-13,M01AB,5.0,daily
2015-11-14,M01AB,4.99,daily
2015-11-15,M01AB,1.33,daily
2015-11-16,M01AB,5.67,daily
2015-11-17,M01AB,6.34,daily
2015-11-18,M01AB,6.34,daily
2015-11-19,M01AB,2.0,daily
2015-11-20,M01AB,5.66,daily
2015-11-21,M01AB,4.0,daily
2015-11-22,M01AB,2.0,daily
2015-11-23,M01AB,3.0,daily
2015-11-24,M01AB,5.0,daily
2015-11-25,M01AB,5.66,daily
2015-11-26,M01AB,4.33,daily
2015-11-27,M01AB,0.67,daily
2015-11-28,M01AB,6.33,daily
2015-11-29,M01AB,6.66,daily
2015-11-30,M01AB,7.33,daily
2015-12-01,M01AB,1.99,daily
2015-12-02,M01AB,1.0,daily
2015-12-03,M01AB,4.0,daily
2015-12-04,M01AB,3.33,daily
2015-12-05,M01AB,8.0,daily
2015-12-06,M01AB,5.67,daily
2015-12-07,M01AB,3.0,daily
2015-12-08,M01AB,2.0,daily
2015-12-09,M01AB,3.34,daily
2015-12-10,M01AB,11.66,daily
2015-12-11,M01AB,5.84,daily
2015-12-12,M01AB,6.34,daily
2015-12-13,M01AB,9.33,daily
2015-12-14,M01AB,5.0,daily
2015-12-15,M01AB,4.99,daily
2015-12-16,M01AB,6.67,daily
2015-12-17,M01AB,9.0,daily
2015-12-18,M01AB,4.33,daily
2015-12-19,M01AB,0.0,daily
2015-12-20,M01AB,3.0,daily
2015-12-21,M01AB,5.0,daily
2015-12-22,M01AB,5.66,daily
2015-12-23,M01AB,3.33,daily
2015-12-24,M01AB,7.33,daily
2015-12-25,M01AB,0.66,daily
2015-12-26,M01AB,4.67,daily
2015-12-27,M01AB,5.33,daily
2015-12-28,M01AB,4.0,daily
2015-12-29,M01AB,10.67,daily
2015-12-30,M01AB,6.66,daily
2015-12-31,M01AB,7.66,daily
2016-01-01,M01AB,0.0,daily
2016-01-02,M01AB,0.34,daily
2016-01-03,M01AB,4.0,daily
2016-01-04,M01AB,7.33,daily
2016-01-05,M01AB,5.33,daily
